sno,NAME,Population,crime,crimerate,LAT,LON,website,picture,,,,,,,,
30,Sikkim,7 Lakhs,172,1,27.3376798,88.51230522,http://citizen.sikkimpolice.nic.in,https://thebetterindia-static.gumlet.io/wp-content/uploads/2017/03/sikkim-iwif-2016.jpg,,,,,,,,
31,Tamil Nadu,7.85 Crores,5822,18,11.15971133,78.76274652,http://tnpolice.gov.in,https://thebetterindia-static.gumlet.io/wp-content/uploads/2017/03/tamil-nadu-iwif-2016.jpg,,,,,,,,
32,Telangana,3.98 Crores,16027,20,17.385044,78.486671,https://www.tspolice.gov.in,https://thebetterindia-static.gumlet.io/wp-content/uploads/2017/03/telangana-iwif-2016.jpg,,,,,,,,
33,Tripura,42 Lakhs,907,2,23.70930485,91.65871314,https://citizenportal.tripurapolice.nic.in,https://thebetterindia-static.gumlet.io/wp-content/uploads/2017/03/tripura-iwif-2016.jpg,,,,,,,,
34,Uttar Pradesh,24 Crores,"59,853",5,27.06916343,80.65919244,https://cctnsup.gov.in,https://thebetterindia-static.gumlet.io/wp-content/uploads/2017/03/uttar-pradesh-iwif-2016.jpg,,,,,,,,
35,Uttaranchal,1.14 Crores,2817,4,29.91025594,78.84563219,http://policecitizenportal.uk.gov.in,https://thebetterindia-static.gumlet.io/wp-content/uploads/2017/03/uttarakhand-wifi-2016.jpg,,,,,,,,
36,West Bengal,10 Crores,30394,5,23.42134318,88.14959609,http://policesohaiyota.policewb.gov.in,https://thebetterindia-static.gumlet.io/wp-content/uploads/2017/03/west-bengal-iwif-2016.jpg,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
